latitud,longitud,victimas,genero,franja_horaria,fecha
-34.64684275,-58.38636298,2.0,1,1,2018-02-06
-34.59276462,-58.37533517,1.0,1,10,2018-02-15
-34.63070603,-58.46963952,1.0,1,4,2018-02-17
-34.64543658,-58.37207554,1.0,1,7,2018-02-17
-34.59176378,-58.39189441,1.0,0,12,2018-02-17
-34.66518343,-58.45012957,1.0,1,22,2018-02-19
-34.64546845,-58.40184094,1.0,0,10,2018-02-22
-34.63966783,-58.37441153,1.0,1,0,2018-02-24
-34.62082399,-58.44110156,1.0,1,6,2018-02-24
-34.57827342,-58.47087351,1.0,1,23,2018-02-28
-34.62245140,-58.45962210,1.0,1,22,2018-03-04
-34.65476216,-58.41657793,2.0,1,4,2018-03-09
-34.65476216,-58.41657793,2.0,1,4,2018-03-09
-34.63722107,-58.41911301,1.0,0,23,2018-03-11
-34.64251042,-58.47120586,1.0,1,15,2018-03-13
-34.62049672,-58.47418944,1.0,1,18,2018-03-15
-34.57905579,-58.46720441,1.0,1,1,2018-03-20
-34.61779710,-58.46909362,1.0,1,10,2018-03-28
-34.56888640,-58.44704343,1.0,1,13,2018-04-02
-34.62902048,-58.50535541,1.0,0,7,2018-04-07
-34.59522198,-58.40021675,1.0,1,18,2018-04-11
-34.62919627,-58.46325991,1.0,0,16,2018-04-12
-34.59694755,-58.49471482,1.0,1,23,2018-04-13
-34.59975962,-58.39872610,1.0,1,18,2018-04-18
-34.60885045,-58.38872177,2.0,0,17,2018-04-20
-34.60885045,-58.38872177,2.0,1,17,2018-04-20
.,.,1.0,1,22,2018-04-21
-34.57305993,-58.45686132,1.0,0,11,2018-04-27
-34.64282424,-58.42281627,1.0,0,13,2018-04-27
-34.63953396,-58.38666024,1.0,1,18,2018-04-27
-34.61207587,-58.49122843,1.0,1,6,2018-04-28
-34.61866627,-58.40098306,1.0,0,9,2018-04-28
-34.57916920,-58.45448963,1.0,1,7,2018-04-30
-34.63931752,-58.52927982,1.0,1,3,2018-05-02
-34.59170240,-58.44759966,1.0,1,19,2018-05-08
-34.62925068,-58.46411215,1.0,1,10,2018-05-09
-34.55395823,-58.46213220,1.0,0,19,2018-05-11
-34.56203610,-58.45669422,1.0,0,18,2018-05-14
-34.64341878,-58.35977160,1.0,0,21,2018-05-15
-34.59070093,-58.49820145,1.0,1,20,2018-05-18
-34.59939180,-58.41059280,1.0,1,2,2018-05-20
-34.57121563,-58.47969138,1.0,0,11,2018-05-22
-34.61883916,-58.40351561,1.0,1,7,2018-05-29
-34.63918987,-58.51973844,1.0,0,13,2018-06-02
